Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA
http://bwin.es/,0,0,4,0,5,0,0,0,False,0,True,False,18,65.2646484375,34,True,FALSE
https://www.independent.co.uk/sport,121,0,60,558,2,19,120,4,True,4,True,False,14,359.1630859375,1638,True,FALSE
https://www.surfer.com/,,,,,,,,,,,,,,,,,
https://www.worldskate.org/,23,0,49,170,0,0,0,27,True,16,True,True,2,79.544921875,451,True,FALSE
https://theathletic.com/uk/,173,0,91,247,2,0,0,8,True,104,True,False,7,857.7744140625,1119,True,FALSE
https://www.mlb.com/,131,0,52,275,2,2,5,6,True,44,True,False,4,1440.7646484375,697,False,FALSE
https://worldrowing.com/,5,0,40,31,2,1,0,1,True,3,True,False,2,303.232421875,79,False,FALSE
https://www.mmafighting.com/,72,0,57,290,2,0,47,5,True,39,True,False,31,331.4677734375,2137,True,FALSE
https://www.sportico.com/,37,0,37,221,5,1,5,39,True,19,True,False,53,362.0830078125,1318,False,FALSE
https://www.cyclingnews.com/,105,0,57,219,2,1,95,13,True,103,True,False,56,938.03125,2812,True,FALSE
https://www.goal.com/,40,0,82,251,2,0,6,54,True,39,True,False,4,385.541015625,1373,False,FALSE
https://www.businessinsider.es/,78,0,72,207,2,1,20,80,True,81,True,False,5,432.2646484375,3398,False,FALSE
https://racer.com/,10,0,19,201,5,0,5,7,True,17,True,True,12,108.3046875,876,False,FALSE
https://www.ufc.com/,20,0,61,88,2,1,2,13,True,6,True,True,16,133.5625,480,True,FALSE
https://sports.yahoo.com/,130,0,82,582,5,1,0,10,True,3,True,True,39,1253.607421875,1380,False,FALSE
http://transfermarkt.es/,181,0,74,369,2,1,7,0,False,17,True,False,12,260.91796875,1652,True,FALSE
https://www.livefutbol.com/,1210,0,14,2236,2,1,68,0,True,0,True,True,55,655.4716796875,5009,False,FALSE
https://geniussports.com/,,,,,,,,,,,,,,,,,
https://www.triathlete.com/,14,0,67,152,5,0,14,26,True,30,True,False,20,163.94921875,1049,False,FALSE
https://frontofficesports.com/,140,0,19,388,2,1,14,66,True,4,True,False,52,489.54296875,2157,False,FALSE
https://www.cricbuzz.com/,43,0,72,262,2,2,15,0,True,3,True,True,14,131.96484375,1813,False,FALSE
https://www.world.rugby/,30,0,11,188,0,0,21,17,True,5,True,False,11,226.5078125,1001,False,FALSE
https://www.cricket.com.au/,29,0,21,92,2,0,9,25,True,16,True,False,12,177.70703125,819,True,FALSE
http://todocircuito.com/,27,0,102,259,0,0,13,12,False,35,False,False,28,100.8212890625,1309,True,FALSE
https://espndeportes.espn.com/,63,0,45,165,2,0,47,5,True,14,True,False,21,238.8505859375,921,True,FALSE
https://www.relevo.com/,63,0,91,270,2,1,25,2,True,81,True,True,8,295.08984375,1481,False,FALSE
https://www.powerlifting.sport/,9,0,85,111,2,3,9,5,True,35,False,False,4,30.7451171875,585,False,FALSE
https://bleacherreport.com/,109,0,48,138,2,2,124,6,True,9,True,False,18,1925.380859375,612,False,FALSE
https://www.superdeporte.es/,315,0,54,1406,2,2,171,53,True,131,True,False,13,1047.5361328125,4565,False,FALSE
https://www.theguardian.com/uk/sport,47,0,46,272,2,3,14,62,True,12,True,False,17,666.5009765625,1278,True,FALSE
https://www.motogp.com/en,0,0,64,162,2,3,6,43,True,90,True,False,9,246.208984375,1826,False,FALSE
https://www.lequipe.fr/,37,0,43,257,2,0,16,5,True,3,True,False,5,713.6884765625,1162,False,FALSE
https://bwfbadminton.com/,52,0,11,124,5,0,21,9,True,2,False,False,13,74.14453125,295,True,FALSE
https://www.skysports.com/,94,0,62,239,2,1,10,35,True,3,True,True,55,466.837890625,1318,False,FALSE
https://www.drf.com/,0,0,63,4,2,0,0,0,True,0,True,True,9,26.048828125,12,False,FALSE
https://www.si.com/,109,0,18,142,5,0,11,52,True,12,True,False,12,636.8896484375,1160,True,FALSE
https://www.bbc.com/sport,94,0,47,229,5,1,12,0,True,89,True,False,12,599.73828125,1184,False,FALSE
https://www.runnersworld.com/,67,0,14,125,5,0,70,0,True,7,True,True,7,428.3896484375,606,True,FALSE
https://www.athleticsweekly.com/,59,0,48,191,5,8,6,42,True,15,False,False,42,169.7939453125,905,False,FALSE
https://as.com/,319,0,59,619,2,1,136,5,True,196,True,False,15,737.37890625,2358,True,FALSE
https://www.sportcal.com/,23,0,15,209,5,0,16,24,True,13,False,False,35,183.5078125,803,False,FALSE
https://www.nbcsports.com/,295,0,58,645,5,0,0,24,True,3,True,False,35,860.3271484375,4942,False,FALSE
https://www.canoeicf.com/,116,0,25,251,2,0,67,0,True,10,False,False,6,139.626953125,1409,False,FALSE
https://www.triathlon.org/,24,0,15,190,2,6,0,0,True,2,True,True,12,64.779296875,925,True,FALSE
https://www.sportspromedia.com/,,,,,,,,,,,,,,,,,
https://www.eurosport.es/,25,0,69,292,2,0,3,27,True,28,True,False,5,1070.26171875,741,True,FALSE
https://www.boxingscene.com/,12,0,107,83,5,1,1,24,True,3,True,True,5,53.77734375,536,True,FALSE
https://www.cbssports.com/,75,0,89,507,2,1,3,55,True,12,True,False,15,432.017578125,1565,True,FALSE
http://elgoldigital.com/,47,0,58,131,2,1,5,0,False,1,True,False,15,273.2158203125,999,False,FALSE
https://www.nhl.com/,76,0,53,163,2,0,11,59,True,0,True,False,10,503.427734375,993,False,FALSE
https://www.eurosport.com/,25,0,69,292,2,0,3,27,True,28,True,False,5,1070.26171875,741,True,FALSE
https://www.paralympic.org/,61,0,42,156,2,0,29,8,True,0,True,False,19,132.9375,504,True,FALSE
https://www.sportsnet.ca/,0,0,46,2,2,0,0,0,True,0,True,False,5,13.5576171875,9,False,FALSE
https://www.gymnastics.sport/,8,0,14,137,0,0,0,3,True,0,True,False,9,565.2138671875,682,False,FALSE
https://www.fei.org/,,,,,,,,,,,,,,,,,
