,index,Link,LCP_m,LCP_o,INP_m,INP_o,FCP_m,FCP_o,TTF_m,TTF_o,CLS_m,CLS_o,FID_m,FID_o
0,0,http://bwin.es/,2.5 s,0.9 s,326 ms,141 ms,1.2 s,0.8 s,0.6 s,0.5 s,0.15,0.23,50 ms,10 ms
1,1,http://elgoldigital.com/,1.3 s,0.8 s,219 ms,87 ms,1.2 s,0.7 s,0.6 s,0.2 s,0.1,0,23 ms,2 ms
2,2,http://todocircuito.com/,2.2 s,1.3 s,164 ms,82 ms,1.5 s,0.9 s,0.7 s,0.5 s,0.09,0.48,20 ms,3 ms
3,3,http://transfermarkt.es/,2.4 s,2 s,170 ms,61 ms,2 s,1.7 s,1.3 s,1.2 s,0.3,0.15,23 ms,3 ms
4,4,https://as.com/,1.4 s,1.2 s,255 ms,69 ms,1.1 s,0.6 s,0.3 s,0.2 s,0.08,0.08,43 ms,8 ms
5,5,https://bleacherreport.com/,2.3 s,2.2 s,171 ms,70 ms,1.6 s,1.1 s,0.7 s,0.5 s,0.19,0.13,21 ms,5 ms
6,6,https://bwfbadminton.com/,2.8 s,2.3 s,175 ms,45 ms,1.8 s,1.4 s,0.7 s,0.7 s,0.89,0.82,14 ms,2 ms
7,7,https://espndeportes.espn.com/,4.7 s,4.5 s,421 ms,267 ms,1.9 s,2.3 s,0.7 s,0.8 s,0.08,0.1,43 ms,10 ms
8,8,https://frontofficesports.com/,1.8 s,1.5 s,207 ms,87 ms,1.5 s,1.2 s,0.6 s,0.7 s,0.28,0.18,50 ms,9 ms
9,9,https://geniussports.com/,4.4 s,2.7 s,229 ms,65 ms,3.3 s,2.1 s,2 s,1.5 s,0,0.05,23 ms,3 ms
10,10,https://olympics.com/en/,1.7 s,1.4 s,460 ms,98 ms,1.5 s,1.1 s,0.8 s,0.7 s,0.07,0.04,28 ms,6 ms
11,11,https://racer.com/,1.7 s,1.3 s,97 ms,37 ms,1.1 s,0.9 s,0.4 s,0.4 s,0.17,0.16,15 ms,3 ms
12,12,https://soccerex.com/,6.1 s,5.2 s,433 ms,63 ms,4.3 s,4.3 s,3.2 s,3.3 s,0.38,0.19,18 ms,4 ms
13,13,https://sports.yahoo.com/,2.1 s,2.9 s,205 ms,91 ms,1.7 s,1.5 s,0.9 s,0.7 s,0.1,0.09,23 ms,5 ms
14,14,https://theathletic.com/uk/,2.1 s,1.9 s,196 ms,100 ms,1.4 s,1.1 s,0.3 s,0.3 s,0.01,0.1,19 ms,4 ms
15,15,https://usagym.org/,1.2 s,1.2 s,64 ms,41 ms,1.2 s,0.9 s,0.5 s,0.6 s,0,0.01,10 ms,3 ms
16,16,https://worldarchery.org/,3.2 s,2.8 s,223 ms,80 ms,2.1 s,1.6 s,0.8 s,0.7 s,0.88,0.56,15 ms,3 ms
