Website,Images,Gifs,Title Size,Links,Languages,h1,h2,h3,HTTPS,Paragraphs,Meta Description,Meta Keywords,JS Scripts,Size KB,Words,Cookies,MENA,LCP_m(s),LCP_o(s),INP_m(ms),INP_o(ms),FCP_m(s),FCP_o(s),TTF_m(s),TTF_o(s),CLS_m,CLS_o,FID_m(ms),FID_o(ms)
http://bwin.es/,0,0,4,0,5,0,0,0,False,0,True,False,18,65.2646484375,34,True,FALSE,2.5,0.9,326.0,141.0,1.2,0.8,0.6,0.5,0.15,0.23,50.0,10.0
https://www.independent.co.uk/sport,121,0,60,558,2,19,120,4,True,4,True,False,14,359.0263671875,1638,True,FALSE,1.8,1.2,201.0,96.0,1.3,0.9,0.5,0.3,0.21,0.06,20.0,6.0
https://www.worldskate.org/,22,0,49,166,0,0,0,26,True,16,True,True,3,76.2802734375,494,True,FALSE,3.8,4.6,92.0,34.0,4.4,4.4,1.0,1.1,0.0,0.26,12.0,2.0
https://theathletic.com/uk/,168,0,91,246,2,0,0,8,True,100,True,False,7,827.96484375,1107,True,FALSE,2.1,1.9,196.0,100.0,1.4,1.1,0.3,0.3,0.01,0.1,19.0,4.0
https://www.mlb.com/,119,0,52,254,2,2,5,6,True,44,True,False,4,1359.2392578125,705,False,FALSE,5.3,3.8,504.0,190.0,2.5,2.0,0.6,0.5,0.04,0.08,25.0,6.0
https://worldrowing.com/,24,0,19,62,2,0,0,15,True,21,True,False,2,423.2373046875,297,False,FALSE,2.0,1.6,195.0,82.0,1.6,1.4,0.7,0.7,0.44,0.39,26.0,3.0
https://www.mmafighting.com/,72,0,57,290,2,0,47,5,True,39,True,False,31,332.65234375,2145,True,FALSE,1.9,1.6,286.0,116.0,1.7,1.2,0.7,0.6,0.3,0.2,32.0,4.0
https://www.sportico.com/,37,0,37,221,5,1,5,39,True,19,True,False,53,362.2861328125,1333,False,FALSE,1.8,1.6,204.0,74.0,1.6,1.4,0.7,0.8,0.05,0.27,22.0,6.0
https://www.cyclingnews.com/,105,0,57,220,2,1,95,13,True,103,True,False,56,937.8173828125,2820,True,FALSE,1.4,1.4,195.0,91.0,1.3,0.9,0.3,0.3,0.02,0.04,20.0,5.0
https://www.goal.com/,41,0,82,248,2,0,5,53,True,38,True,False,4,379.0888671875,1322,False,FALSE,1.9,1.7,400.0,100.0,1.9,1.5,0.9,0.9,0.04,0.06,88.0,7.0
https://www.businessinsider.es/,78,0,72,207,2,1,20,80,True,81,True,False,5,423.443359375,3386,False,FALSE,2.1,1.8,185.0,110.0,1.6,1.6,0.6,0.6,0.03,0.05,22.0,3.0
https://racer.com/,10,0,19,201,5,0,5,7,True,17,True,True,10,77.57421875,877,False,FALSE,1.7,1.3,97.0,37.0,1.1,0.9,0.4,0.4,0.17,0.16,15.0,3.0
https://www.ufc.com/,20,0,61,88,2,1,2,13,True,6,True,True,16,135.0654296875,486,True,FALSE,1.5,1.0,204.0,62.0,1.2,0.8,0.5,0.4,0.05,0.05,15.0,2.0
https://sports.yahoo.com/,122,0,82,580,5,1,0,10,True,3,True,True,39,1230.9384765625,1413,False,FALSE,2.1,2.9,205.0,91.0,1.7,1.5,0.9,0.7,0.1,0.09,23.0,5.0
http://transfermarkt.es/,181,0,74,371,2,1,7,0,False,18,True,False,12,263.6103515625,1746,True,FALSE,2.4,2.0,170.0,61.0,2.0,1.7,1.3,1.2,0.3,0.15,23.0,3.0
https://www.livefutbol.com/,1206,0,14,2229,2,1,68,0,True,0,True,True,55,653.529296875,4992,False,FALSE,3.8,2.2,676.0,142.0,2.6,1.7,0.9,0.8,0.36,0.15,248.0,19.0
https://geniussports.com/,129,0,58,132,5,2,42,2,True,38,True,False,15,279.9326171875,1196,False,FALSE,4.4,2.7,229.0,65.0,3.3,2.1,2.0,1.5,0.0,0.05,23.0,3.0
https://www.triathlete.com/,14,0,67,152,5,0,14,26,True,30,True,False,20,163.94921875,1049,False,FALSE,3.1,2.6,102.0,47.0,2.7,2.1,1.5,1.3,0.05,0.04,16.0,3.0
https://frontofficesports.com/,140,0,19,388,2,1,14,66,True,4,True,False,52,489.5478515625,2157,False,FALSE,1.8,1.5,207.0,87.0,1.5,1.2,0.6,0.7,0.28,0.18,50.0,9.0
https://www.cricbuzz.com/,45,0,72,268,2,2,16,1,True,3,True,True,14,133.77734375,1901,False,FALSE,1.7,1.4,104.0,28.0,0.8,0.5,0.3,0.2,0.04,0.07,20.0,2.0
